Week Ending,Estimate,MMWR_Year,MMWR_Week,Enrollment Date,CMS Data As of date,Race and Ethnicity
08/05/2023 12:00:00 AM,0.0012,2023,31,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Overall
08/12/2023 12:00:00 AM,0.0299,2023,32,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Overall
08/19/2023 12:00:00 AM,0.129,2023,33,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Overall
08/26/2023 12:00:00 AM,0.322,2023,34,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Overall
09/02/2023 12:00:00 AM,0.66,2023,35,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Overall
09/09/2023 12:00:00 AM,1.22,2023,36,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Overall
09/16/2023 12:00:00 AM,2.03,2023,37,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Overall
09/23/2023 12:00:00 AM,3.05,2023,38,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Overall
09/30/2023 12:00:00 AM,4.15,2023,39,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Overall
10/07/2023 12:00:00 AM,5.29,2023,40,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Overall
10/14/2023 12:00:00 AM,6.46,2023,41,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Overall
10/21/2023 12:00:00 AM,7.65,2023,42,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Overall
10/28/2023 12:00:00 AM,8.85,2023,43,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Overall
11/04/2023 12:00:00 AM,9.94,2023,44,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Overall
11/11/2023 12:00:00 AM,11,2023,45,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Overall
11/18/2023 12:00:00 AM,12.11,2023,46,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Overall
11/25/2023 12:00:00 AM,12.69,2023,47,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,Overall
08/05/2023 12:00:00 AM,0.0013,2023,31,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"White, Non-Hispanic"
08/12/2023 12:00:00 AM,0.0311,2023,32,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"White, Non-Hispanic"
08/19/2023 12:00:00 AM,0.134,2023,33,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"White, Non-Hispanic"
08/26/2023 12:00:00 AM,0.335,2023,34,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"White, Non-Hispanic"
09/02/2023 12:00:00 AM,0.686,2023,35,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"White, Non-Hispanic"
09/09/2023 12:00:00 AM,1.27,2023,36,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"White, Non-Hispanic"
09/16/2023 12:00:00 AM,2.12,2023,37,04/30/2024 12:00:00 AM,05/16/2024 12:00:00 AM,"White, Non-Hispanic"
